title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2011 Maruti Swift Dzire VXI 1.2,₹2.54 Lakh,"Dadar, Mumbai",Oct 2011,Comprehensive,Petrol,5 Seats,"96,638 Kms",Thane,First Owner,1197 cc,Manual,2011,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2017 Mahindra XUV500 R W10 FWD,₹9.65 Lakh,"Kandivali West, Mumbai",Jun 2017,Comprehensive,Diesel,7 Seats,"45,000 Kms",Mumbai,Second Owner,2179 cc,Manual,2017,2179 cc,140 bhp,16 kmpl,,200mm,7,FWD,,,,,,,,,
2018 Maruti Baleno 1.2 CVT Zeta,₹5.85 Lakh,"Kandivali West, Mumbai",Mar 2018,Expired,Petrol,5 Seats,"66,002 Kms",Mumbai,First Owner,1197 cc,Automatic,2018,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,,
2019 Tata Tiago 1.2 Revotron XM,₹4.49 Lakh,"West, Thane",Oct 2019,Comprehensive,Petrol,5 Seats,"36,765 Kms",Thane,First Owner,1199 cc,Manual,2019,1199 cc,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,,
2018 Hyundai Xcent Petrol,₹5.24 Lakh,"Ghatkopar West, Mumbai",Aug 2018,Comprehensive,Petrol,,"55,272 Kms",Thane,First Owner,,Manual,2018,,,,Petrol,,,,,,,,,,,,
2021 Maruti S-Presso LXI Opt CNG,₹4.05 Lakh,"Dadar, Mumbai",Jun 2021,Comprehensive,CNG,4 Seats,"62,481 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,58.33 bhp,,CNG,,,,3565,2,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.91 Lakh,"Dadar, Mumbai",Apr 2019,Comprehensive,Petrol,5 Seats,"25,327 Kms",Mumbai,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2017 Honda Jazz V,₹4.71 Lakh,"Ghatkopar West, Mumbai",Mar 2017,Comprehensive,Petrol,5 Seats,"42,597 Kms",Mumbai,Second Owner,1199 cc,Manual,2017,1199 cc,88.50 bhp,17.1 kmpl,Petrol,,,,,2,,,,,,,
2022 Tata Nexon EV XZ Plus,₹9.90 Lakh,"Khar (w), Mumbai",Feb 2022,Comprehensive,Electric,5 Seats,"16,000 Kms",Mumbai,First Owner,,Automatic,2022,,141.04 bhp,,,,5,,,,,453 km,40.5 kWh,56 Mins,15 Hours,5 Star,
2015 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹3.56 Lakh,"Dadar, Mumbai",Apr 2015,Comprehensive,Petrol,5 Seats,"72,418 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2018 Honda Amaze V CVT Petrol BSIV,₹6.45 Lakh,"Antop Hill, Mumbai",Jul 2018,Expired,Petrol,5 Seats,"53,000 Kms",Mumbai,First Owner,1199 cc,Automatic,2018,1199 cc,88.76 bhp,19 kmpl,Petrol,,,,,2,,,,,,,
2020 Renault KWID Neotech,₹3.95 Lakh,"West, Thane",,Third Party,Petrol,5 Seats,"9,800 Kms",,,799 cc,Manual,2020,799 cc,53.26 bhp,21.74 kmpl,Petrol,,,,,1,,,,,,,
2015 Hyundai Xcent 1.2 Kappa S Option,₹4.30 Lakh,"Mulund West, Mumbai",Mar 2015,Expired,Petrol,5 Seats,"25,000 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2011 Maruti Swift Dzire ZXi,₹2.85 Lakh,"Mira Road East, Mumbai",Jun 2012,Expired,Petrol,5 Seats,"55,000 Kms",Thane,First Owner,1298 cc,Manual,2011,1298 cc,85.8 bhp,17.5 kmpl,Petrol,,,,,,,,,,,,
2017 Maruti Baleno 1.2 CVT Zeta,₹4.74 Lakh,"Kandivali East, Mumbai",May 2017,Comprehensive,Petrol,5 Seats,"76,574 Kms",Mumbai,First Owner,1197 cc,Automatic,2017,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,,
2017 Honda City i VTEC CVT VX,₹6.45 Lakh,"Andheri East, Mumbai",Jan 2017,Expired,Petrol,5 Seats,"56,642 Kms",Mumbai,First Owner,1497 cc,Automatic,2017,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2020 Volkswagen T-Roc TSI,₹17.45 Lakh,"Andheri East, Mumbai",Sept 2020,Comprehensive,Petrol,5 Seats,"47,000 Kms",Mumbai,First Owner,1498 cc,Automatic,2020,1498 cc,147.94 bhp,18.4 kmpl,Petrol,,5,FWD,,,,,,,,,
2022 Honda City ZX CVT,₹12.40 Lakh,"Borivali West, Mumbai",Mar 2022,Comprehensive,Petrol,5 Seats,"36,500 Kms",Mumbai,Second Owner,1498 cc,Automatic,2022,1498 cc,119.35 bhp,18.3 kmpl,Petrol,,,,,6,,,,,,,
2018 Audi Q3 30 TFSI Premium FWD,₹21.99 Lakh,"Borivali West, Mumbai",Mar 2018,Expired,Petrol,5 Seats,"68,000 Kms",Navi Mumbai,First Owner,1395 cc,Automatic,2018,1395 cc,147.51 bhp,,Petrol,,5,FWD,,,,,,,,,204 kmph
2024 Kia Carnival Limousine Plus,₹76.50 Lakh,"Andheri West, Mumbai",Nov 2024,Comprehensive,Diesel,7 Seats,600 Kms,Mumbai,First Owner,2151 cc,Automatic,2024,2151 cc,190 bhp,,Diesel,,7,,,8,,,,,,,
2017 Mercedes-Benz CLA 200 CDI Sport,₹22.22 Lakh,"Ghatkopar West, Mumbai",Aug 2017,Comprehensive,Diesel,5 Seats,"50,624 Kms",Mumbai,Second Owner,2143 cc,Automatic,2017,2143 cc,136 bhp,,Diesel,,5,FWD,,,,,,,,,220 kmph
2015 Maruti Baleno Alpha Diesel,₹4.98 Lakh,"Dadar, Mumbai",Jan 2016,Expired,Diesel,5 Seats,"53,922 Kms",Mumbai,First Owner,1248 cc,Manual,2015,1248 cc,74 bhp,27.39 kmpl,Diesel,,,,,2,,,,,,,
2014 Land Rover Freelander 2 SE,₹11.50 Lakh,"Matunga West, Mumbai",Apr 2014,Comprehensive,Diesel,5 Seats,"1,60,000 Kms",Thane,Second Owner,2179 cc,Automatic,2014,2179 cc,147.51 bhp,,Diesel,,5,4WD,,,,,,,,,181 kmph
2017 Maruti Ignis Alpha,₹5.04 Lakh,"West, Thane",Apr 2017,Comprehensive,Petrol,5 Seats,"31,589 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.80 bhp,20.89 kmpl,Petrol,,,,,,260 Litres,,,,,,
2023 Renault Kiger RXZ Turbo CVT DT,₹8.95 Lakh,"Goregaon West, Mumbai",Apr 2023,Third Party,Petrol,5 Seats,"20,000 Kms",Mumbai,First Owner,999 cc,Automatic,2023,999 cc,98.63 bhp,18.24 kmpl,,205 mm,,FWD,,,,,,,,4 Star,
2021 Maruti Wagon R LXI Opt,₹5.25 Lakh,"Antop Hill, Mumbai",Feb 2021,Third Party,Petrol,5 Seats,"31,000 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,67.05 bhp,21.79 kmpl,Petrol,,,,,2,,,,,,,
2022 Kia Seltos X-Line Diesel AT,₹17.75 Lakh,"Goregaon (w), Mumbai",Mar 2022,Expired,Diesel,5 Seats,"11,700 Kms",Mumbai,Second Owner,1493 cc,Automatic,2022,1493 cc,113.43 bhp,18 kmpl,Diesel,,5,FWD,,,,,,,,,
2014 Honda City i VTEC V,₹3.90 Lakh,"Chembur, Mumbai",Feb 2015,Third Party,Petrol,5 Seats,"67,558 Kms",Mumbai,Second Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2019 Ford Ecosport 1.5 Petrol Titanium BSIV,₹7.75 Lakh,"Ghatkopar East, Mumbai",Jan 2019,Expired,Petrol,5 Seats,"15,100 Kms",Mumbai,First Owner,1497 cc,Manual,2019,1497 cc,121.31 bhp,17 kmpl,,200mm,,FWD,,,,,,,,,
2017 Honda City i-VTEC VX,₹6.30 Lakh,"Apna Bazar, Thane",Dec 2017,Comprehensive,Petrol,5 Seats,"60,000 Kms",Mumbai,Second Owner,1497 cc,Manual,2017,1497 cc,117.6 bhp,17.4 kmpl,Petrol,,,,,2,,,,,,,
2018 Honda WR-V i-VTEC S,₹5.50 Lakh,"Borivali West, Mumbai",Dec 2018,Comprehensive,Petrol,5 Seats,"29,935 Kms",Mumbai,First Owner,1199 cc,Manual,2018,1199 cc,88.7 bhp,17.5 kmpl,,188mm,,FWD,,,,,,,,,
2014 Hyundai i20 Asta 1.2,₹3.80 Lakh,"Kandivali East, Mumbai",Sept 2014,Comprehensive,Petrol,5 Seats,"53,308 Kms",Thane,Third Owner,1197 cc,Manual,2014,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,,
2022 Hyundai Creta SX Opt Diesel AT BSVI,₹18.25 Lakh,"Borivali West, Mumbai",Sept 2022,Comprehensive,Diesel,5 Seats,"48,359 Kms",Mumbai,First Owner,1493 cc,Automatic,2022,1493 cc,113.45 bhp,18 kmpl,Diesel,,5,,,6,,,,,,,
2016 Hyundai Grand i10 AT Asta,₹4.55 Lakh,"Andheri East, Mumbai",Nov 2016,Expired,Petrol,5 Seats,"34,700 Kms",Mumbai,First Owner,1197 cc,Automatic,2016,1197 cc,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,,
2022 Jeep Compass 1.4 Sport DCT BSVI,₹16.75 Lakh,"Goregaon West, Mumbai",Aug 2022,Expired,Petrol,5 Seats,"29,700 Kms",Navi Mumbai,First Owner,1368 cc,Automatic,2022,1368 cc,160.77 bhp,14.1 kmpl,Petrol,,5,4x2,,,,,,,,,
2017 Renault KWID 1.0 RXT Opt,₹3.23 Lakh,"Kandivali East, Mumbai",Dec 2017,Comprehensive,Petrol,5 Seats,"35,272 Kms",Mumbai,First Owner,999 cc,Manual,2017,999 cc,67 bhp,21.74 kmpl,Petrol,,,,,2,,,,,,,
2021 Mercedes-Benz GLS 400d 4MATIC BSVI,₹90.80 Lakh,"Nerul, Navi Mumbai",Aug 2021,Comprehensive,Diesel,7 Seats,"87,010 Kms",Mumbai,Second Owner,2925 cc,Automatic,2021,2925 cc,325.86 bhp,,Diesel,,,AWD,,,,,,,,,238 kmph
2018 Maruti Celerio ZXI AMT BSIV,₹4.75 Lakh,"Mulund East, Mumbai",May 2018,Comprehensive,Petrol,5 Seats,"16,433 Kms",Mumbai,First Owner,998 cc,Automatic,2018,998 cc,67.04 bhp,23.1 kmpl,Petrol,,,,,1,,,,,,,
2019 Kia Seltos HTX Plus Diesel,₹13.50 Lakh,"Kurla, Mumbai",Oct 2019,Comprehensive,Diesel,5 Seats,"78,000 Kms",panvel,First Owner,1493 cc,Manual,2019,1493 cc,113.43 bhp,20.8 kmpl,Diesel,,5,FWD,,,,,,,,,
2022 Tata Harrier XZA AT BSVI,₹16.90 Lakh,"Andheri, Mumbai",Jul 2022,Comprehensive,Diesel,5 Seats,"46,000 Kms",Thane,First Owner,1956 cc,Automatic,2022,1956 cc,167.67 bhp,14.6 kmpl,Diesel,,5,,,6,,,,,,,
2013 Volkswagen Polo 1.5 TDI Highline,₹3.19 Lakh,"Ghatkopar West, Mumbai",Mar 2013,Comprehensive,Diesel,5 Seats,"81,750 Kms",Thane,First Owner,1498 cc,Manual,2013,1498 cc,88 bhp,20.14 kmpl,Diesel,,,,3971mm,,,,,,,,
2022 Hyundai Venue SX Turbo iMT,₹10.96 Lakh,"Ghatkopar West, Mumbai",Jul 2022,Comprehensive,Petrol,5 Seats,"14,518 Kms",Mumbai,First Owner,998 cc,Manual,2022,998 cc,118.35 bhp,18 kmpl,Petrol,,,FWD,,,,,,,,,
2015 Honda City i VTEC SV,₹5.35 Lakh,"Sanpada, Navi Mumbai",Mar 2015,Third Party,Petrol,5 Seats,"62,400 Kms",Mumbai,First Owner,1497 cc,Manual,2015,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2020 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.70 Lakh,"Ghatkopar West, Mumbai",Mar 2020,Comprehensive,Petrol,5 Seats,"23,068 Kms",Mumbai,First Owner,1197 cc,Manual,2020,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2015 Audi A3 40 TFSI Premium Plus,₹13.75 Lakh,"Matunga West, Mumbai",Aug 2015,Expired,Petrol,5 Seats,"61,000 Kms",Navi Mumbai,Second Owner,1798 cc,Automatic,2015,1798 cc,177.5 bhp,,Petrol,,5,FWD,,,,,,,,,250 kmph
2021 Maruti Wagon R CNG LXI Opt,₹5.45 Lakh,"Ins Hamla, Mumbai",Jul 2021,Comprehensive,CNG,5 Seats,"69,000 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,58.33 bhp,32.52 km/kg,CNG,,,,,2,,,,,,,
2020 Porsche Cayenne E-Hybrid Platinum Edition,₹1.10 Crore,"Khar Delivery, Mumbai",Dec 2020,Comprehensive,Petrol,5 Seats,"50,000 Kms",panvel,First Owner,2995 cc,Automatic,2020,2995 cc,340 bhp,,Petrol,210 mm,5,AWD,,,,,,,,,
2015 Mercedes-Benz M-Class ML 350 CDI,₹21.50 Lakh,"Ghatkopar East, Mumbai",Jun 2015,Expired,Diesel,5 Seats,"87,000 Kms",Thane,First Owner,2987 cc,Automatic,2015,2987 cc,254.8 bhp,11.74 kmpl,,161mm,5,AWD,,,,,,,,,
2022 Hyundai i20 Asta Turbo DCT,₹11.11 Lakh,"Borivali West, Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"35,200 Kms",kalyan,First Owner,998 cc,Automatic,2022,998 cc,118.36 bhp,20.28 kmpl,Petrol,,,,,2,,,,,,,
2022 Tata Nexon XZA Plus P Dark Edition AMT Diesel,₹9.62 Lakh,"Navi, Mumbai",Jul 2022,Comprehensive,Diesel,5 Seats,"19,849 Kms",Mumbai,First Owner,1497 cc,Automatic,2022,1497 cc,108.49 bhp,22.07 kmpl,Diesel,209,5,,,,,,,,,,
2013 Maruti A-Star Vxi,₹2 Lakh,"Antop Hill, Mumbai",Jul 2013,Comprehensive,Petrol,5 Seats,"68,000 Kms",Mumbai,First Owner,998 cc,Manual,2013,998 cc,66.1 bhp,19 kmpl,Petrol,,,,3500mm,,,,,,,,
2018 Tata Nexon 1.5 Revotorq XMA,₹7.55 Lakh,"West, Thane",Nov 2018,Expired,Diesel,5 Seats,"34,535 Kms",Pune,Second Owner,1497 cc,Automatic,2018,1497 cc,108.5 bhp,21.5 kmpl,Diesel,,,FWD,,,,,,,,,
2019 Tata Harrier XZ BSIV,₹12.99 Lakh,"Borivali West, Mumbai",Mar 2019,Comprehensive,Diesel,5 Seats,"42,600 Kms",Mumbai,First Owner,1956 cc,Manual,2019,1956 cc,138.1 bhp,17 kmpl,,205 mm,5,FWD,,,,,,,,,
2017 Land Rover Discovery Sport TD4 Pure,₹27.50 Lakh,"Ghatkopar East, Mumbai",Jan 2017,Expired,Diesel,5 Seats,"1,05,000 Kms",Mumbai,First Owner,1999 cc,Automatic,2017,1999 cc,148.31 bhp,,Diesel,,7,4WD,,,,,,,,,180 kmph
2011 Volkswagen Polo Diesel Comfortline 1.2L,₹2.95 Lakh,"Chembur, Mumbai",Mar 2011,Comprehensive,Diesel,5 Seats,"63,000 Kms",Mumbai,Second Owner,1199 cc,Manual,2011,1199 cc,73.9 bhp,22.07 kmpl,Diesel,,,,3970mm,,,,,,,,
2017 Honda City VX MT,₹7.19 Lakh,"Dadar, Mumbai",Jul 2017,Comprehensive,Petrol,5 Seats,"33,074 Kms",Thane,First Owner,1498 cc,Manual,2017,1498 cc,119.35 bhp,18.6 kmpl,Petrol,,,,,6,,,,,,,
2016 Maruti Wagon R LXI CNG,₹3.45 Lakh,"Andheri East, Mumbai",Mar 2016,Third Party,CNG,5 Seats,"64,000 Kms",Mumbai,First Owner,998 cc,Manual,2016,998 cc,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,,
2017 Audi Q7 40 TFSI Quattro,₹31.50 Lakh,"Andheri West, Mumbai",Mar 2018,Comprehensive,Petrol,7 Seats,"93,700 Kms",Navi Mumbai,First Owner,1984 cc,Automatic,2017,1984 cc,248 bhp,13.55 kmpl,,205 mm,7,AWD,,,,,,,,,
2015 Maruti Swift Dzire VXI,₹3.86 Lakh,"Goregaon East, Mumbai",Nov 2015,Expired,Petrol,5 Seats,"43,351 Kms",kalyan,First Owner,1197 cc,Manual,2015,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,378 Litres,,,,,3 Star,
2018 Skoda Kodiaq 2.0 TDI Style,₹23.75 Lakh,"Matunga West, Mumbai",May 2018,Comprehensive,Diesel,7 Seats,"42,000 Kms",Mumbai,First Owner,1968 cc,Automatic,2018,1968 cc,148 bhp,,Diesel,,7,4WD,,,,,,,,,200.7 kmph
2024 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,₹21.65 Lakh,"Andheri, Mumbai",Aug 2024,Comprehensive,Petrol,5 Seats,"9,000 Kms",Sindhudurg,First Owner,1451 cc,Automatic,2024,1451 cc,141 bhp,12.34 kmpl,,192mm,5,FWD,,,,,,,,,
2022 MG Gloster Savvy 4x4 6Str,₹35.25 Lakh,"Andheri East, Mumbai",Aug 2022,Third Party,Diesel,6 Seats,"34,000 Kms",Thane,First Owner,1996 cc,Automatic,2022,1996 cc,212.55 bhp,10 kmpl,Diesel,,"6, 7",4WD,,,,,,,,,
2022 Mercedes-Benz GLS 400d 4MATIC BSVI,₹1.44 Crore,"Khar Delivery, Mumbai",Oct 2023,Comprehensive,Diesel,7 Seats,"30,000 Kms",Ahmednagar,First Owner,2925 cc,Automatic,2022,2925 cc,325.86 bhp,,Diesel,,,AWD,,,,,,,,,238 kmph
2023 Maruti Swift Dzire VXI,₹7.35 Lakh,"Vadpe, Thane",Feb 2023,Comprehensive,Petrol,5 Seats,"12,000 Kms",Mumbai,First Owner,1197 cc,Manual,2023,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,378 Litres,,,,,3 Star,
2021 Hyundai i20 Asta 1.2,₹7.19 Lakh,"Navi, Mumbai",Jun 2021,Comprehensive,Petrol,5 Seats,"41,841 Kms",Mumbai,First Owner,1197 cc,Manual,2021,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,,
2018 Honda Jazz V,₹5.34 Lakh,"Ghatkopar West, Mumbai",May 2018,Comprehensive,Petrol,5 Seats,"51,668 Kms",Mumbai,First Owner,1199 cc,Manual,2018,1199 cc,88.50 bhp,17.1 kmpl,Petrol,,,,,2,,,,,,,
2020 Skoda Octavia 1.8 TSI AT L K,₹15.15 Lakh,"Borivali West, Mumbai",Dec 2020,Zero Dep,Petrol,5 Seats,"31,008 Kms",Mumbai,First Owner,1798 cc,Automatic,2020,1798 cc,178 bhp,15.1 kmpl,Petrol,,,,,8,,,,,,,
2019 Kia Seltos GTX Plus DCT,₹14.95 Lakh,"Goregaon (w), Mumbai",Mar 2019,Expired,Petrol,5 Seats,"18,500 Kms",Mumbai,First Owner,1353 cc,Automatic,2019,1353 cc,138.08 bhp,16.5 kmpl,Petrol,,5,FWD,,,,,,,,,
2021 Tata Harrier XZA Plus AT BSVI,₹16.95 Lakh,"Borivali West, Mumbai",Aug 2021,Comprehensive,Diesel,5 Seats,"24,063 Kms",Mumbai,First Owner,1956 cc,Automatic,2021,1956 cc,167.67 bhp,14.6 kmpl,Diesel,,5,,,6,,,,,,,
2018 Maruti Wagon R VXI 1.2,₹4.31 Lakh,"West, Thane",Jan 2019,Comprehensive,Petrol,5 Seats,"5,973 Kms",Thane,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,20.52 kmpl,Petrol,,,,,1,,,,,,,
2019 BMW 5 Series 520d Luxury Line,₹35.25 Lakh,"Andheri West, Mumbai",Sept 2019,Comprehensive,Diesel,5 Seats,"75,000 Kms",Mumbai,First Owner,1995 cc,Automatic,2019,1995 cc,187.74 bhp,,Diesel,,,RWD,,,,,,,,,235 kmph
2019 Honda City i-VTEC CVT ZX,₹8.35 Lakh,"Prabhadevi, Mumbai",Jan 2019,Expired,Petrol,5 Seats,"54,970 Kms",Mumbai,First Owner,1497 cc,Automatic,2019,1497 cc,117.6 bhp,18 kmpl,Petrol,,,,,6,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹8.65 Lakh,"Kandivali West, Mumbai",Mar 2017,Comprehensive,Petrol,5 Seats,"58,000 Kms",Mumbai,First Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2014 BMW 5 Series 520d Luxury Line,₹15.85 Lakh,"Jogeshwari East, Mumbai",Aug 2014,Expired,Diesel,5 Seats,"69,000 Kms",Navi Mumbai,First Owner,1995 cc,Automatic,2014,1995 cc,190 bhp,,Diesel,,,RWD,,,,,,,,,231 kmph
2017 Maruti Ciaz VDi Option SHVS,₹5.95 Lakh,"Sanpada, Navi Mumbai",Apr 2017,Third Party,Diesel,5 Seats,"55,000 Kms",panvel,First Owner,1248 cc,Manual,2017,1248 cc,88.5 bhp,28.09 kmpl,Diesel,,,,,,,,,,,,
2020 Mahindra XUV500 W9 AT,₹14.75 Lakh,"Borivali West, Mumbai",Dec 2020,Expired,Diesel,7 Seats,"47,317 Kms",Mumbai,First Owner,2179 cc,Automatic,2020,2179 cc,152.87 bhp,15.1 kmpl,,200mm,7,FWD,,,,,,,,,
2014 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,₹8.90 Lakh,"Mulund West, Mumbai",Aug 2014,Comprehensive,Diesel,7 Seats,"1,18,000 Kms",Mumbai,First Owner,2494 cc,Manual,2014,2494 cc,100.6 bhp,,Diesel,,7,,,,,,,,,,
2012 Ford Figo Petrol ZXI,₹2.18 Lakh,"Dadar, Mumbai",Sept 2012,Comprehensive,Petrol,5 Seats,"44,239 Kms",Thane,First Owner,1196 cc,Manual,2012,1196 cc,70.02 bhp,15.6 kmpl,Petrol,,,,3795mm,,,,,,,,
2022 BMW X4 M Sport X xDrive30d,₹50.50 Lakh,"Andheri West, Mumbai",Jan 2022,Comprehensive,Diesel,5 Seats,"20,000 Kms",Pune,Second Owner,2993 cc,Automatic,2022,2993 cc,261.50 bhp,,Diesel,,,4WD,,,,,,,,,235 kmph
2019 Maruti Dzire VXI,₹6.30 Lakh,"Navi, Mumbai",Jun 2019,Comprehensive,Petrol,5 Seats,"14,363 Kms",Thane,First Owner,1197 cc,Manual,2019,1197 cc,80 bhp,24.79 kmpl,Petrol,,,,,,382 Litres,,,,,5 Star,
2023 MG Comet EV Plush,₹6.85 Lakh,"Matunga West, Mumbai",Dec 2023,Comprehensive,Electric,4 Seats,"8,000 Kms",Mumbai,First Owner,,Automatic,2023,,41.42 bhp,,,,4,,,2,,230 km,17.3 kWh,,7H | 3.3 kW (0-100%),,
2016 Hyundai Verna 1.4 CRDi,₹5.25 Lakh,"Thane West, Mumbai",May 2016,Expired,Diesel,5 Seats,"1,19,000 Kms",beed,First Owner,1396 cc,Manual,2016,1396 cc,88.7 bhp,24.8 kmpl,Diesel,,,,,,,,,,,,
2021 Renault Kiger RXZ Turbo CVT,₹8.05 Lakh,"Dadar, Mumbai",Nov 2021,Comprehensive,Petrol,5 Seats,"16,362 Kms",Thane,First Owner,999 cc,Automatic,2021,999 cc,98.63 bhp,18.24 kmpl,Petrol,205,,,,,,,,,,,
2021 Volkswagen Taigun 1.0 Topline,₹12.91 Lakh,"Ghatkopar West, Mumbai",Oct 2021,Comprehensive,Petrol,5 Seats,"9,674 Kms",Mumbai,First Owner,999 cc,Manual,2021,999 cc,113.98 bhp,19.2 kmpl,,188 mm,5,FWD,,,,,,,,5 Star,
2021 MG ZS EV Excite,₹16 Lakh,"Santacruz (east), Mumbai",Aug 2021,Expired,Electric,5 Seats,"69,000 Kms",Navi Mumbai,First Owner,,Automatic,2021,,140.8 bhp,,,,5,,,6,,419 km,44.5 kWh,,,,
2023 Maruti Wagon R VXI,₹5.65 Lakh,"West, Thane",Jul 2023,Comprehensive,Petrol,5 Seats,"27,273 Kms",Thane,First Owner,998 cc,Manual,2023,998 cc,65.71 bhp,24.35 kmpl,Petrol,,,,,,341 Litres,,,,,,
2018 Datsun RediGO T Option,₹2.76 Lakh,"Mulund East, Mumbai",Jun 2019,Comprehensive,Petrol,5 Seats,"35,500 Kms",Mumbai,First Owner,799 cc,Manual,2018,799 cc,53.64 bhp,22.7 kmpl,Petrol,,,,3429mm,,,,,,,,
2021 BMW X5 xDrive 30d xLine,₹66 Lakh,"Bazargate, Mumbai",Mar 2021,Comprehensive,Diesel,5 Seats,"41,400 Kms",DD01,First Owner,2993 cc,Automatic,2021,2993 cc,261.50 bhp,13.38 kmpl,Diesel,,5,AWD,,,,,,,,,
2017 Hyundai i20 Magna 1.2,₹4.95 Lakh,"Sanpada, Navi Mumbai",Mar 2017,Third Party,Petrol,5 Seats,"44,916 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹3.49 Lakh,"Dadar, Mumbai",Jul 2015,Comprehensive,Petrol,5 Seats,"47,562 Kms",panvel,Second Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2021 Hyundai Venue SX Turbo,₹8.30 Lakh,"Dadar, Mumbai",Feb 2022,Comprehensive,Petrol,5 Seats,"29,792 Kms",Navi Mumbai,First Owner,998 cc,Manual,2021,998 cc,118.35 bhp,18.27 kmpl,Petrol,,,FWD,,,,,,,,,
2021 Maruti S-Presso VXI,₹4.04 Lakh,"Kandivali East, Mumbai",Jan 2022,Comprehensive,Petrol,5 Seats,"8,325 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,65.71 bhp,24.76 kmpl,Petrol,,,,,,240 Litres,,,,,,
2019 Maruti Baleno Alpha Diesel,₹6.19 Lakh,"Kandivali East, Mumbai",Jul 2019,Comprehensive,Diesel,5 Seats,"65,694 Kms",panvel,First Owner,1248 cc,Manual,2019,1248 cc,74 bhp,27.39 kmpl,Diesel,,,,,2,,,,,,,
2021 Honda City ZX CVT,₹12.75 Lakh,"Vileparle(west) S.o, Mumbai",Oct 2021,Zero Dep,Petrol,5 Seats,"14,800 Kms",Thane,First Owner,1498 cc,Automatic,2021,1498 cc,119.35 bhp,18.3 kmpl,Petrol,,,,,6,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Asta,₹3.77 Lakh,"West, Thane",Oct 2015,Comprehensive,Petrol,5 Seats,"76,246 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2015 Hyundai Xcent Petrol,₹3.84 Lakh,"Ghatkopar West, Mumbai",Jul 2016,Comprehensive,Petrol,,"30,215 Kms",Mumbai,First Owner,,Manual,2015,,,,Petrol,,,,,,,,,,,,
