Year of Manufacture,Kms Driven,Power,Mileage,Engine Displacement,Brand,Model,Transmission,Fuel Type,City,price
2012,48000,86.8,19.4,1198.0,Honda,Brio S MT,Manual,Petrol,Mumbai,220000
2021,55108,119.35,18.3,1498.0,Honda,City VX CVT,Automatic,Petrol,Mumbai,1026000
2020,13078,81.8,21.21,1197.0,Maruti,Swift AMT ZXI,Automatic,Petrol,Mumbai,641000
2018,59000,58.16,26.6,998.0,Maruti,Wagon R LXI CNG,Manual,CNG,Mumbai,491000
2014,52600,110.0,15.8,1499.0,Ford,Ecosport 1.5 Ti VCT MT Trend,Manual,Petrol,Mumbai,425000
2016,50669,81.86,17.19,1197.0,Hyundai,i20 Active 1.2 SX,Manual,Petrol,Mumbai,512000
2014,28000,108.91762795275592,19.529431028174166,1373.0,Maruti,Ertiga ZXI,Manual,Petrol,Mumbai,545000
2019,99000,88.7,22.1,1396.0,Hyundai,Creta 1.4 EX Diesel,Manual,Diesel,Mumbai,1000000
2017,42900,88.7,17.5,1199.0,Honda,WR-V i-VTEC VX,Manual,Petrol,Navi Mumbai,625000
2017,76000,121.3,13.0,1591.0,Hyundai,Creta 1.6 VTVT AT SX Plus,Automatic,Petrol,Mumbai,725000
2021,42000,58.33,32.52,998.0,Maruti,Wagon R CNG LXI,Manual,CNG,Coimbatore,600000
2018,10721,81.8,21.21,1197.0,Maruti,Swift Dzire AMT ZXI Plus,Automatic,Petrol,Mumbai,616000
2024,4000,80.0,24.79,1197.0,Maruti,Dzire ZXI,Manual,Petrol,Thane,780000
2020,16000,86.83,19.33,1199.0,Tata,Altroz XE BSVI,Manual,Petrol,Mumbai,595000
2019,23199,110.0,16.5,1499.0,Ford,Ecosport 1.5 Ti VCT AT Titanium,Automatic,Petrol,Mumbai,795000
2023,12076,118.36,16.35,1199.0,Tata,Nexon XZA Plus AMT S,Automatic,Petrol,Mumbai,1092000
2023,11000,88.5,22.56,1197.0,Maruti,Swift ZXI AMT,Automatic,Petrol,Mumbai,825000
2018,39507,183.0,19.529431028174166,1991.0,Mercedes-Benz,GLA Class 200 Sport,Automatic,Petrol,Mumbai,1925000
2016,72000,121.3,15.29,1591.0,Hyundai,Creta 1.6 VTVT S,Manual,Petrol,Mumbai,675000
2018,24364,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Magna BSIV,Manual,Petrol,Mumbai,475000
2019,54000,150.0,19.529431028174166,1395.0,Audi,A3 35 TFSI Premium Plus,Automatic,Petrol,Mumbai,1795000
2016,30000,395.0,13.0,4951.0,Ford,Mustang V8,Automatic,Petrol,Mumbai,6900000
2015,28510,91.1,20.73,1373.0,Maruti,Ciaz ZXi,Manual,Petrol,Mumbai,507000
2019,47574,58.0,30.48,1086.0,Hyundai,Santro Sportz CNG BSIV,Manual,CNG,Mumbai,425000
2019,46952,117.6,18.0,1497.0,Honda,City i-VTEC CVT V,Automatic,Petrol,Mumbai,775000
2021,28000,167.67,14.08,1956.0,Tata,Safari XZA Plus AT,Automatic,Diesel,Mumbai,1850000
2020,32000,119.35,18.3,1498.0,Honda,City ZX CVT,Automatic,Petrol,Mumbai,969999
2014,110232,108.91762795275592,19.529431028174166,1373.0,Maruti,Ertiga VXI CNG,Manual,CNG,Mumbai,675000
2016,72000,140.0,16.0,2179.0,Mahindra,XUV500 AT W10 FWD,Automatic,Diesel,Mumbai,999000
2018,154630,153.86,19.529431028174166,2179.0,Tata,Hexa XTA,Automatic,Diesel,Mumbai,875000
2011,47001,103.6,14.4,1598.0,Volkswagen,Vento Petrol Highline AT,Automatic,Petrol,Thane,310000
2022,14502,81.8,20.52,1197.0,Maruti,Wagon R ZXI 1.2,Manual,Petrol,Thane,549000
2011,27443,78.9,17.71,1197.0,Toyota,Etios Liva G,Manual,Petrol,Mumbai,247000
2023,10000,147.52,18.41,1498.0,Skoda,Slavia 1.5 TSI Style AT,Automatic,Petrol,Coimbatore,1700000
2012,74052,116.3,16.8,1497.0,Honda,City V MT,Manual,Petrol,Mumbai,345000
2023,18500,141.04,12.34,1451.0,MG,Hector Savvy Pro CVT,Automatic,Petrol,Mumbai,1989999
2018,50000,121.3,13.0,1591.0,Hyundai,Creta 1.6 VTVT AT SX Plus,Automatic,Petrol,Mumbai,999000
2014,80000,86.7,15.5,1198.0,Honda,Amaze VX AT i-Vtech,Automatic,Petrol,Coimbatore,486000
2018,53000,117.6,18.0,1497.0,Honda,City i-VTEC CVT V,Automatic,Petrol,Mumbai,750000
2016,50079,74.0,27.39,1248.0,Maruti,Baleno Alpha Diesel,Manual,Diesel,Mumbai,524000
2018,45000,88.5,24.3,1248.0,Maruti,Vitara Brezza ZDi AMT,Automatic,Diesel,Mumbai,825000
2019,14259,67.0,23.01,999.0,Renault,KWID 1.0 RXT Optional AT 2016-2019,Automatic,Petrol,Navi Mumbai,342000
2014,36878,67.04,20.51,998.0,Maruti,Wagon R VXI BS IV,Manual,Petrol,Mumbai,315000
2012,47000,85.8,18.6,1197.0,Maruti,Swift VXI,Manual,Petrol,Mumbai,299000
2017,53000,108.91762795275592,19.529431028174166,1497.0,Honda,City i-VTEC CVT ZX,Automatic,Petrol,Mumbai,765000
2015,47848,82.0,18.9,1197.0,Hyundai,Grand i10 Asta,Manual,Petrol,Navi Mumbai,351000
2021,24611,108.91762795275592,19.529431028174166,1199.0,Tata,Nexon XZA Plus AMT S,Automatic,Petrol,Mumbai,969999
2019,37534,88.5,17.1,1199.0,Honda,Jazz V,Manual,Petrol,Thane,573000
2018,54000,188.0,19.529431028174166,1995.0,BMW,3 Series GT Luxury Line,Automatic,Diesel,Mumbai,2750000
2021,34000,81.8,20.52,1197.0,Maruti,Wagon R ZXI 1.2,Manual,Petrol,Mumbai,545000
2020,28200,67.0,22.0,999.0,Renault,KWID 1.0 RXT AMT Opt,Automatic,Petrol,Coimbatore,399000
2016,54316,81.86,17.19,1197.0,Hyundai,i20 Active 1.2 SX,Manual,Petrol,Mumbai,525000
2016,68433,108.62,21.66,1498.0,Volkswagen,Ameo 1.5 TDI Highline,Manual,Diesel,Mumbai,416000
2019,26436,167.67,16.35,1956.0,Tata,Harrier XZ,Manual,Diesel,Mumbai,1241000
2018,42000,83.1,21.4,1197.0,Maruti,Baleno 1.2 Delta,Manual,Petrol,Coimbatore,550000
2016,64933,103.25,18.55,1462.0,Maruti,S Cross Zeta,Manual,Petrol,Thane,598000
2018,79000,100.0,18.49,1493.0,Mahindra,TUV 300 T4 Plus,Manual,Diesel,Thane,599000
2019,34494,81.86,18.6,1197.0,Hyundai,i20 Sportz Plus BSIV,Manual,Petrol,Coimbatore,599000
2020,28000,127.0,19.529431028174166,1440.1495461749028,Tata,Nexon EV XZ Plus,Automatic,Electric,Mumbai,975000
2014,71000,85.8,18.6,1197.0,Maruti,Swift VXI,Manual,Petrol,Mumbai,365000
2020,37545,81.86,17.52,1197.0,Hyundai,Venue S BSIV,Manual,Petrol,Thane,840000
2013,40000,85.8,18.6,1197.0,Maruti,Swift LXI,Manual,Petrol,Mumbai,325000
2009,85000,108.91762795275592,11.3,2360.0,Mitsubishi,Outlander 2.4,Automatic,Petrol,Thane,300000
2015,57004,108.91762795275592,19.529431028174166,1440.1495461749028,Hyundai,Xcent Petrol,Manual,Petrol,Thane,424000
2023,10480,167.67,14.6,1956.0,Tata,Harrier XMA AT,Automatic,Diesel,Mumbai,1700000
2020,49000,148.31,19.529431028174166,1999.0,Land,Rover Discovery Sport TD4 HSE 7S,Automatic,Diesel,Mumbai,4675000
2021,29000,81.86,20.7,1197.0,Hyundai,Grand i10 Nios Sportz,Manual,Petrol,Thane,595000
2020,18414,81.86,17.52,1197.0,Hyundai,Venue S BSIV,Manual,Petrol,Mumbai,775000
2022,6462,147.51,18.47,1498.0,Volkswagen,Taigun 1.5 TSI GT BSVI,Manual,Petrol,Mumbai,1300000
2019,66521,118.35,18.15,998.0,Hyundai,Venue SX Plus Turbo DCT,Automatic,Petrol,Thane,789000
2021,51000,141.0,8.61,1451.0,MG,Hector Sharp DCT,Automatic,Petrol,Mumbai,1150000
2018,56675,119.35,18.6,1498.0,Honda,City VX MT,Manual,Petrol,Thane,730000
2017,59948,126.2,20.5,1582.0,Hyundai,Creta 1.6 SX Diesel,Manual,Diesel,Mumbai,852999
2021,25081,81.86,17.52,1197.0,Hyundai,Venue S,Manual,Petrol,Mumbai,771000
2014,45880,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Mumbai,347000
2020,56000,81.86,17.52,1197.0,Hyundai,Venue S BSIV,Manual,Petrol,Mumbai,725000
2021,57000,113.43,18.0,1493.0,Kia,Seltos GTX Plus Diesel AT,Automatic,Diesel,Mumbai,1500000
2016,60865,82.0,18.9,1197.0,Hyundai,Grand i10 Magna,Manual,Petrol,Mumbai,350000
2018,51000,67.04,23.1,998.0,Maruti,Celerio ZXI AMT BSIV,Automatic,Petrol,Mumbai,445000
2011,56331,81.8,20.52,1197.0,Maruti,Wagon R VXI 1.2,Manual,Petrol,Mumbai,234000
2020,27061,121.3,15.8,1591.0,Hyundai,Creta 1.6 SX Option,Manual,Petrol,Thane,1475000
2018,57405,126.2,19.67,1582.0,Hyundai,Creta 1.6 CRDi SX,Manual,Diesel,Thane,921000
2021,33011,86.76,19.65,1197.0,Hyundai,i20 Sportz IVT BSVI,Automatic,Petrol,Thane,835000
2020,42000,174.5,14.24,2755.0,Toyota,Fortuner 2.8 2WD MT,Manual,Diesel,Mumbai,3100000
2020,80167,71.01,20.0,999.0,Renault,Triber RXZ,Manual,Petrol,Thane,540000
2013,35010,82.85,18.5,1197.0,Hyundai,i20 Sportz 1.2,Manual,Petrol,Coimbatore,321000
2012,131000,168.7,12.55,2982.0,Toyota,Fortuner 4x2 AT TRD Sportivo,Automatic,Diesel,Mumbai,1044999
2017,57000,81.83,18.6,1197.0,Hyundai,i20 Sportz 1.2,Manual,Petrol,Mumbai,525000
2017,67000,177.46,14.67,1798.0,Skoda,Superb Style 1.8 TSI AT,Automatic,Petrol,Mumbai,1349000
2018,57000,100.0,18.49,1493.0,Mahindra,TUV 300 T4 Plus,Manual,Diesel,Mumbai,625000
2018,80000,140.0,16.0,2179.0,Mahindra,XUV500 W8 2WD,Manual,Diesel,Mumbai,899000
2022,34178,86.7,17.8,1198.0,Honda,Amaze VX i-VTEC,Manual,Petrol,Mumbai,815000
2017,14690,67.0,24.04,999.0,Renault,KWID 1.0 AMT RXT,Automatic,Petrol,Coimbatore,325000
2021,21000,160.77,14.1,1368.0,Jeep,Compass 1.4 Limited Opt DCT BSVI,Automatic,Petrol,Mumbai,1875000
2021,45401,55.92,32.73,998.0,Maruti,S-Presso VXI CNG,Manual,CNG,Mumbai,437000
2021,27000,58.33,32.52,998.0,Maruti,Wagon R CNG LXI,Manual,CNG,Thane,545000
2019,29000,117.6,18.0,1497.0,Honda,City i-VTEC CVT ZX,Automatic,Petrol,Mumbai,894999
2015,72539,88.7,18.7,1199.0,Honda,Jazz 1.2 V i VTEC,Manual,Petrol,Mumbai,366000
2017,36000,117.3,18.0,1497.0,Honda,City i VTEC CVT VX,Automatic,Petrol,Mumbai,775000
2013,34520,81.8,21.21,1197.0,Maruti,Swift AMT ZXI,Automatic,Petrol,Mumbai,383000
2022,50383,141.04,19.529431028174166,1440.1495461749028,Tata,Nexon EV XZ Plus,Automatic,Electric,Thane,894999
2023,23000,108.91762795275592,19.529431028174166,2184.0,Mahindra,Scorpio S 11 BSVI,Manual,Diesel,Mumbai,1939999
2019,39000,117.6,17.4,1497.0,Honda,City V CVT,Automatic,Petrol,Mumbai,775000
2018,38894,103.25,20.04,1462.0,Maruti,Ciaz Zeta AT,Automatic,Petrol,Thane,678000
2021,21000,160.77,14.1,1368.0,Jeep,Compass 1.4 Limited Opt DCT BSVI,Automatic,Petrol,Mumbai,1875000
2020,40561,58.33,19.529431028174166,998.0,Maruti,S-Presso VXI Opt CNG,Manual,CNG,Mumbai,449000
2022,23910,71.01,20.0,999.0,Renault,Triber RXT,Manual,Petrol,Thane,639000
2023,2800,187.74,19.529431028174166,1998.0,Audi,A4 Premium Plus BSVI,Automatic,Petrol,Mumbai,3395000
2022,30675,59.18,30.48,1086.0,Hyundai,Santro Sportz Executive CNG,Manual,CNG,Mumbai,543000
2015,14122,108.91762795275592,19.529431028174166,998.0,Maruti,Celerio ZXI,Manual,Petrol,Mumbai,373000
2017,33862,117.3,17.8,1497.0,Honda,City i VTEC VX,Manual,Petrol,Mumbai,675000
2019,45270,118.35,18.15,998.0,Hyundai,Venue SX Plus Turbo DCT BSIV,Automatic,Petrol,Mumbai,875000
2013,45600,82.85,18.5,1197.0,Hyundai,i20 Magna,Manual,Petrol,Coimbatore,325000
2011,114000,108.91762795275592,19.529431028174166,2494.0,Toyota,Innova 2.5 V Diesel 7-seater,Manual,Diesel,Thane,625000
2018,51000,83.1,21.4,1197.0,Maruti,Baleno 1.2 CVT Alpha,Automatic,Petrol,Mumbai,625000
2022,10328,108.49,19.529431028174166,1498.0,MG,Astor Super EX BSVI,Manual,Petrol,Mumbai,997000
2013,75086,86.8,19.4,1198.0,Honda,Brio V MT,Manual,Petrol,Mumbai,235000
2017,105184,152.87,15.1,2179.0,Mahindra,XUV500 W9 AT,Automatic,Diesel,Mumbai,886000
2018,52951,104.5,14.99,1498.0,Renault,Duster Petrol RXS CVT,Automatic,Petrol,Mumbai,659000
2011,65000,88.73,17.6,1496.0,Toyota,Etios G,Manual,Petrol,Mumbai,199000
2012,71000,108.91762795275592,19.529431028174166,1197.0,Hyundai,i10 Sportz,Manual,Petrol,Coimbatore,295000
2021,43474,58.16,26.6,998.0,Maruti,Wagon R LXI CNG,Manual,CNG,Mumbai,545000
2021,72000,98.63,18.24,999.0,Renault,Kiger RXZ Turbo CVT,Automatic,Petrol,Coimbatore,675000
2018,52000,108.5,21.5,1497.0,Tata,Nexon 1.5 Revotorq XMA,Automatic,Diesel,Mumbai,695000
2020,51101,118.35,18.15,998.0,Hyundai,Venue SX Plus Turbo DCT,Automatic,Petrol,Thane,894999
2021,20000,81.8,20.52,1197.0,Maruti,Wagon R VXI 1.2,Manual,Petrol,Thane,530000
2022,45025,114.41,19.529431028174166,1493.0,Kia,Carens Luxury Plus Diesel AT 6 STR BSVI,Automatic,Diesel,Mumbai,1750000
2020,27000,68.05,20.3,1086.0,Hyundai,Santro Magna,Manual,Petrol,Mumbai,375000
2018,62813,88.5,19.529431028174166,1248.0,Maruti,Ciaz Petrol,Manual,Diesel,Mumbai,628000
2016,52875,84.0,23.84,1199.0,Tata,Tiago 1.2 Revotron XM,Manual,Petrol,Mumbai,284000
2017,8000,73.97,24.0,1186.0,Hyundai,Grand i10 1.2 CRDi Sportz Option,Manual,Diesel,Mumbai,395000
2017,32000,188.0,19.529431028174166,1995.0,BMW,3 Series GT Luxury Line,Automatic,Diesel,Mumbai,2000000
2024,16000,156.9,14.2,1999.0,Hyundai,Alcazar Signature (O) AT,Automatic,Petrol,Mumbai,2075000
2015,83000,126.2,19.67,1582.0,Hyundai,Creta 1.6 CRDi SX,Manual,Diesel,Mumbai,785000
2014,54000,117.3,18.0,1497.0,Honda,City i VTEC CVT VX,Automatic,Petrol,Mumbai,550000
2014,63904,75.0,18.78,999.0,Volkswagen,Polo Cup Edition Comfortline,Manual,Petrol,Mumbai,342000
2022,14904,86.7,17.8,1198.0,Honda,Amaze VX i-VTEC,Manual,Petrol,Mumbai,850000
2016,55000,126.2,19.67,1582.0,Hyundai,Creta 1.6 CRDi SX,Manual,Diesel,Coimbatore,850000
2010,94809,108.91762795275592,16.0,1198.0,Honda,Jazz Select Edition Active,Manual,Petrol,Mumbai,160000
2015,43000,58.16,26.6,998.0,Maruti,Wagon R LXI CNG,Manual,CNG,Coimbatore,350000
2017,72033,170.0,17.1,1956.0,Jeep,Compass 2.0 Sport,Manual,Diesel,Mumbai,749000
2022,12000,119.35,18.3,1498.0,Honda,City ZX CVT,Automatic,Petrol,Mumbai,1350000
2018,34618,67.0,23.01,999.0,Renault,KWID Climber 1.0 MT,Manual,Petrol,Thane,344000
2015,23112,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Mumbai,367000
2021,7200,68.05,20.3,1086.0,Hyundai,Santro Magna,Manual,Petrol,Mumbai,450000
2019,10148,68.0,20.3,1086.0,Hyundai,Santro Era Executive BSIV,Manual,Petrol,Mumbai,389000
2016,63050,117.3,18.0,1497.0,Honda,City i VTEC CVT SV,Automatic,Petrol,Thane,551000
2018,41000,117.6,18.0,1497.0,Honda,City i-VTEC CVT VX,Automatic,Petrol,Mumbai,795000
2016,116010,126.2,20.5,1582.0,Hyundai,Creta 1.6 SX Diesel,Manual,Diesel,Mumbai,762000
2024,1590,80.0,24.79,1197.0,Maruti,Dzire VXI,Manual,Petrol,Mumbai,768000
2022,45201,55.92,35.6,998.0,Maruti,Celerio VXI CNG BSVI,Manual,CNG,Mumbai,610000
2016,21144,75.0,18.78,999.0,Volkswagen,Polo Cup Edition Comfortline,Manual,Petrol,Mumbai,446000
2017,39070,75.0,19.44,999.0,Volkswagen,Ameo Cup Edition Comfortline,Manual,Petrol,Mumbai,607000
2022,28938,72.0,26.49,1199.0,Tata,Tiago XZ Plus CNG BSVI,Manual,CNG,Mumbai,622000
2022,22500,103.25,20.04,1462.0,Maruti,Ciaz Zeta AT BSVI,Automatic,Petrol,Mumbai,1044999
2020,29184,119.35,18.3,1498.0,Honda,City V CVT,Automatic,Petrol,Mumbai,844000
2014,56000,110.0,16.5,1499.0,Ford,Ecosport 1.5 Ti VCT AT Titanium,Automatic,Petrol,Mumbai,400000
2022,15192,86.8,19.65,1197.0,Hyundai,i20 Asta IVT,Automatic,Petrol,Mumbai,875000
2021,52849,58.33,32.52,998.0,Maruti,Wagon R CNG LXI,Manual,CNG,Navi Mumbai,513000
2020,41000,235.0,19.529431028174166,1969.0,Volvo,XC60 Inscription D5 BSIV,Automatic,Diesel,Mumbai,4490000
2010,59000,108.91762795275592,16.8,1497.0,Honda,City 1.5 V AT,Automatic,Petrol,Mumbai,265000
2016,40638,74.0,27.39,1248.0,Maruti,Baleno Alpha Diesel,Manual,Diesel,Thane,495000
2014,85000,68.05,19.81,1086.0,Hyundai,i10 Magna 1.1L,Manual,Petrol,Thane,305000
2016,41235,103.2,18.19,1197.0,Volkswagen,Vento 1.2 TSI Highline AT,Automatic,Petrol,Mumbai,525000
2022,12347,86.63,20.09,1199.0,Tata,Punch Adventure BSVI,Manual,Petrol,Mumbai,594000
2021,11000,187.74,15.81,1984.0,Skoda,Octavia Style,Automatic,Petrol,Mumbai,2145000
2024,9500,362.07,12.0,2925.0,Mercedes-Benz,GLS 450d 4matic,Automatic,Diesel,Mumbai,13700000
2023,20000,113.45,18.0,1493.0,Hyundai,Creta SX Opt Diesel AT BSVI,Automatic,Diesel,Mumbai,1975000
2016,66947,121.3,17.01,1591.0,Hyundai,Verna 1.6 VTVT SX,Manual,Petrol,Mumbai,544000
2019,75740,88.5,24.3,1248.0,Maruti,Vitara Brezza ZDi AMT,Automatic,Diesel,Thane,775000
2015,56000,121.3,15.29,1591.0,Hyundai,Creta 1.6 VTVT S,Manual,Petrol,Mumbai,725000
2023,16338,118.35,17.33,1199.0,Tata,Nexon XZ Plus S,Manual,Petrol,Thane,997000
2018,29306,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz Option AT,Automatic,Petrol,Mumbai,515000
2017,94535,147.8,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 VX MT 8S BSIV,Manual,Diesel,Thane,1549000
2014,55000,190.0,19.529431028174166,1995.0,BMW,3 Series 320d Luxury Line,Automatic,Diesel,Mumbai,1044999
2018,25000,117.6,17.4,1497.0,Honda,City i-VTEC V,Manual,Petrol,Mumbai,699000
2011,112704,245.0,19.529431028174166,2993.0,BMW,X5 xDrive 30d,Automatic,Diesel,Mumbai,799000
2021,18586,160.77,14.1,1368.0,Jeep,Compass 1.4 Anniversary Edition DCT 2021-2022,Automatic,Petrol,Mumbai,1989999
2017,74000,91.1,19.12,1373.0,Maruti,Ciaz 1.4 AT Zeta,Automatic,Petrol,Mumbai,675000
2018,60059,85.8,18.6,1197.0,Maruti,Swift VXI,Manual,Petrol,Thane,462000
2017,75065,81.83,18.6,1197.0,Hyundai,i20 1.2 Magna Executive,Manual,Petrol,Mumbai,401999
2015,30495,67.04,20.51,998.0,Maruti,Wagon R VXI BS IV,Manual,Petrol,Mumbai,345000
2022,35000,118.36,20.0,998.0,Hyundai,i20 Asta Turbo iMT,Manual,Petrol,Mumbai,825000
2021,6000,150.0,15.2,1997.0,Mahindra,Thar LX 4WD Convert Top AT BSVI,Automatic,Petrol,Mumbai,1550000
2016,53000,187.74,18.53,1968.0,Audi,A6 35 TDI,Automatic,Diesel,Mumbai,1850000
2021,49000,241.38,19.529431028174166,1950.0,Mercedes-Benz,GLE 300d BSVI,Automatic,Diesel,Mumbai,7000000
2017,29788,126.2,20.5,1582.0,Hyundai,Creta 1.6 SX Diesel,Manual,Diesel,Mumbai,916000
2018,29800,88.5,24.3,1248.0,Maruti,Vitara Brezza ZDi AMT,Automatic,Diesel,Mumbai,825000
2023,17449,87.0,20.0,1197.0,Hyundai,i20 Asta Opt IVT,Automatic,Petrol,Thane,944999
